"address","total_shootings","lat","lon","popup"
"Albany, NY",1,42.6511674,-73.754968,"<strong> Albany, NY </strong><br> <strong> Total Shootings:</strong> 1"
"Ansonia, CT",1,41.3429922,-73.0787468,"<strong> Ansonia, CT </strong><br> <strong> Total Shootings:</strong> 1"
"Ardsley, NY",1,41.0106531,-73.8437452,"<strong> Ardsley, NY </strong><br> <strong> Total Shootings:</strong> 1"
"Arietta, NY",1,43.246203,-74.51786,"<strong> Arietta, NY </strong><br> <strong> Total Shootings:</strong> 1"
"Arundel, ME",1,43.3825857,-70.4778292,"<strong> Arundel, ME </strong><br> <strong> Total Shootings:</strong> 1"
"Auburn, MA",1,42.1964541,-71.8462808,"<strong> Auburn, MA </strong><br> <strong> Total Shootings:</strong> 1"
"Auburn, ME",1,44.0978509,-70.2311655,"<strong> Auburn, ME </strong><br> <strong> Total Shootings:</strong> 1"
"Bangor, ME",1,44.8011111,-68.7783333,"<strong> Bangor, ME </strong><br> <strong> Total Shootings:</strong> 1"
"Bath, NH",1,44.1666787,-71.9643132,"<strong> Bath, NH </strong><br> <strong> Total Shootings:</strong> 1"
"Beacon, NY",1,41.504879,-73.9696822,"<strong> Beacon, NY </strong><br> <strong> Total Shootings:</strong> 1"
"Belgrade, ME",1,44.4472889,-69.832549,"<strong> Belgrade, ME </strong><br> <strong> Total Shootings:</strong> 1"
"Belmont, NH",1,43.445441,-71.478424,"<strong> Belmont, NH </strong><br> <strong> Total Shootings:</strong> 1"
"Berne, NY",1,42.6253546,-74.1334647,"<strong> Berne, NY </strong><br> <strong> Total Shootings:</strong> 1"
"Beverly, MA",1,42.5584284,-70.8800491,"<strong> Beverly, MA </strong><br> <strong> Total Shootings:</strong> 1"
"Bolton, CT",1,41.7689878,-72.4334173,"<strong> Bolton, CT </strong><br> <strong> Total Shootings:</strong> 1"
"Bolton, VT",1,44.3728323,-72.8806764,"<strong> Bolton, VT </strong><br> <strong> Total Shootings:</strong> 1"
"Boston, MA",8,42.3602534,-71.0582912,"<strong> Boston, MA </strong><br> <strong> Total Shootings:</strong> 8"
"Boston, MA",8,42.3602534,-71.0582912,"<strong> Boston, MA </strong><br> <strong> Total Shootings:</strong> 8"
"Boston, MA",8,42.3602534,-71.0582912,"<strong> Boston, MA </strong><br> <strong> Total Shootings:</strong> 8"
"Boston, MA",8,42.3602534,-71.0582912,"<strong> Boston, MA </strong><br> <strong> Total Shootings:</strong> 8"
"Boston, MA",8,42.3602534,-71.0582912,"<strong> Boston, MA </strong><br> <strong> Total Shootings:</strong> 8"
"Boston, MA",8,42.3602534,-71.0582912,"<strong> Boston, MA </strong><br> <strong> Total Shootings:</strong> 8"
"Boston, MA",8,42.3602534,-71.0582912,"<strong> Boston, MA </strong><br> <strong> Total Shootings:</strong> 8"
"Boston, MA",8,42.3602534,-71.0582912,"<strong> Boston, MA </strong><br> <strong> Total Shootings:</strong> 8"
"Braintree, MA",1,42.2064195,-71.005067,"<strong> Braintree, MA </strong><br> <strong> Total Shootings:</strong> 1"
"Brentwood, NY",1,40.7810749,-73.2424884,"<strong> Brentwood, NY </strong><br> <strong> Total Shootings:</strong> 1"
"Bridgeport, CT",1,41.1670412,-73.2048348,"<strong> Bridgeport, CT </strong><br> <strong> Total Shootings:</strong> 1"
"Brockton, MA",2,42.0834335,-71.0183787,"<strong> Brockton, MA </strong><br> <strong> Total Shootings:</strong> 2"
"Brockton, MA",2,42.0834335,-71.0183787,"<strong> Brockton, MA </strong><br> <strong> Total Shootings:</strong> 2"
"Bronx, NY",4,40.85048545,-73.8404035580209,"<strong> Bronx, NY </strong><br> <strong> Total Shootings:</strong> 4"
"Bronx, NY",4,40.85048545,-73.8404035580209,"<strong> Bronx, NY </strong><br> <strong> Total Shootings:</strong> 4"
"Bronx, NY",4,40.85048545,-73.8404035580209,"<strong> Bronx, NY </strong><br> <strong> Total Shootings:</strong> 4"
"Bronx, NY",4,40.85048545,-73.8404035580209,"<strong> Bronx, NY </strong><br> <strong> Total Shootings:</strong> 4"
"Brookline, MA",1,42.3317642,-71.1211635,"<strong> Brookline, MA </strong><br> <strong> Total Shootings:</strong> 1"
"Brooklyn, NY",6,40.6501038,-73.9495823,"<strong> Brooklyn, NY </strong><br> <strong> Total Shootings:</strong> 6"
"Brooklyn, NY",6,40.6501038,-73.9495823,"<strong> Brooklyn, NY </strong><br> <strong> Total Shootings:</strong> 6"
"Brooklyn, NY",6,40.6501038,-73.9495823,"<strong> Brooklyn, NY </strong><br> <strong> Total Shootings:</strong> 6"
"Brooklyn, NY",6,40.6501038,-73.9495823,"<strong> Brooklyn, NY </strong><br> <strong> Total Shootings:</strong> 6"
"Brooklyn, NY",6,40.6501038,-73.9495823,"<strong> Brooklyn, NY </strong><br> <strong> Total Shootings:</strong> 6"
"Brooklyn, NY",6,40.6501038,-73.9495823,"<strong> Brooklyn, NY </strong><br> <strong> Total Shootings:</strong> 6"
"Buffalo, NY",3,42.8867166,-78.8783922,"<strong> Buffalo, NY </strong><br> <strong> Total Shootings:</strong> 3"
"Buffalo, NY",3,42.8867166,-78.8783922,"<strong> Buffalo, NY </strong><br> <strong> Total Shootings:</strong> 3"
"Buffalo, NY",3,42.8867166,-78.8783922,"<strong> Buffalo, NY </strong><br> <strong> Total Shootings:</strong> 3"
"Burlington, VT",2,44.4762975,-73.2135472,"<strong> Burlington, VT </strong><br> <strong> Total Shootings:</strong> 2"
"Burlington, VT",2,44.4762975,-73.2135472,"<strong> Burlington, VT </strong><br> <strong> Total Shootings:</strong> 2"
"Canaan, NH",1,43.647007,-72.013321,"<strong> Canaan, NH </strong><br> <strong> Total Shootings:</strong> 1"
